dog_id,breed,age,weight,duration,hr_mean,hr_max,hr_min,hr_std,br_mean,br_max,br_min,br_std,hrv,rr_mean
AS_004,australian_shepherd,9.5,20.0,300.12,57.57,59.89,51.76,2.15,27.19,27.65,26.67,0.32,0.3961,0.9797
AS_005,australian_shepherd,9.5,20.0,300.08,57.54,59.52,55.34,1.54,29.09,29.09,29.09,0.0,0.3956,1.0124
AS_007,australian_shepherd,9.5,20.0,300.12,55.76,59.22,50.62,2.31,28.63,28.63,28.63,0.0,0.4182,1.0495
AS_008,australian_shepherd,9.5,20.0,300.17,55.23,63.07,50.04,3.44,20.62,27.73,16.51,3.9,0.4697,1.0966
AS_009,australian_shepherd,9.5,20.0,300.17,56.98,62.95,51.55,2.9,23.02,25.81,21.77,1.62,0.4548,1.0607
AS_010,australian_shepherd,9.5,20.0,300.17,59.52,59.52,59.52,0.0,32.71,34.32,31.1,1.61,0.3849,0.9377
AS_011,australian_shepherd,9.5,20.0,300.17,59.14,61.78,57.58,1.57,24.43,24.43,24.43,0.0,0.3974,0.9528
AS_012,australian_shepherd,9.5,20.0,300.14,57.05,60.98,51.35,2.46,23.17,25.59,19.45,1.51,0.4423,1.0619
AS_013,australian_shepherd,9.5,20.0,300.12,56.36,60.89,48.42,3.76,17.27,20.58,14.04,2.19,0.4369,1.0102
AS_014,australian_shepherd,9.5,20.0,300.12,55.64,58.91,50.95,2.34,21.56,25.07,19.63,2.1,0.4388,1.0896
AS_017,australian_shepherd,9.5,20.0,300.17,49.82,54.05,44.55,2.47,17.44,18.23,16.64,0.8,0.4985,1.2212
AS_018,australian_shepherd,9.5,20.0,300.14,50.25,54.09,48.0,1.76,14.04,15.04,12.81,0.78,0.5353,1.2333
AS_019,australian_shepherd,9.5,20.0,300.22,50.42,55.71,46.27,2.71,13.28,14.04,12.48,0.44,0.5134,1.1402
AS_020,australian_shepherd,9.5,20.0,300.17,52.12,55.2,47.85,1.84,14.84,17.04,12.64,1.42,0.5324,1.1734
AS_021,australian_shepherd,9.5,20.0,300.22,54.81,59.8,48.99,2.78,15.08,18.29,12.84,1.73,0.4777,1.1001
AS_022,australian_shepherd,9.5,20.0,300.17,53.59,57.73,47.53,2.99,13.29,14.08,12.01,0.65,0.5176,1.1398
AS_023,australian_shepherd,9.5,20.0,300.14,55.68,60.49,52.43,2.96,13.3,13.55,13.04,0.26,0.4644,1.0148
AS_024,australian_shepherd,9.5,20.0,300.22,54.72,61.94,48.36,3.11,12.23,13.12,11.44,0.61,0.5067,1.1131
AS_025,australian_shepherd,9.5,20.0,300.22,55.19,59.92,52.5,2.1,11.94,13.1,10.79,1.16,0.5092,1.1284
AS_026,australian_shepherd,9.5,20.0,300.22,52.04,57.93,48.0,2.84,11.36,11.63,11.09,0.23,0.5158,1.1505
AS_035,australian_shepherd,2.0,26.0,300.08,51.52,56.89,45.17,3.02,13.88,14.67,12.08,0.58,0.5245,1.1728
AS_036,australian_shepherd,2.0,26.0,300.14,55.68,66.97,51.16,3.73,14.38,15.91,13.41,0.76,0.4693,1.0612
AS_038,australian_shepherd,2.0,26.0,300.09,58.34,67.99,50.56,4.32,16.39,20.4,11.72,2.5,0.4319,1.0388
AS_039,australian_shepherd,2.0,26.0,300.08,56.14,62.62,50.45,2.93,17.25,19.21,15.96,1.32,0.4232,1.0185
AS_041,australian_shepherd,2.0,26.0,300.13,61.37,75.09,57.54,4.0,20.32,22.97,16.62,1.66,0.3858,0.9689
AS_042,australian_shepherd,2.0,26.0,300.18,64.67,76.66,57.07,4.89,18.9,21.62,16.91,1.66,0.3584,0.9298
AS_043,australian_shepherd,2.0,26.0,300.08,61.26,65.31,52.6,2.69,19.66,22.09,18.0,1.23,0.3606,0.9708
AS_044,australian_shepherd,2.0,26.0,300.14,60.68,64.65,55.08,2.37,21.03,22.31,17.74,1.13,0.3599,0.9615
AS_045,australian_shepherd,2.0,26.0,300.13,59.25,65.43,52.43,3.07,21.93,24.02,19.42,2.08,0.3394,0.9575
AS_046,australian_shepherd,2.0,26.0,300.14,56.23,59.62,52.83,1.72,17.62,19.15,16.15,1.25,0.4234,1.0671
AS_048,australian_shepherd,2.0,26.0,300.14,58.15,84.03,46.39,8.99,15.04,18.14,12.8,1.47,0.426,1.0249
AS_050,australian_shepherd,2.0,26.0,300.18,60.31,69.63,55.12,3.53,18.49,19.01,17.78,0.4,0.3891,0.9866
AS_051,australian_shepherd,2.0,26.0,300.14,57.84,72.34,49.37,5.91,18.01,20.82,13.23,2.2,0.4499,1.0597
AS_052,australian_shepherd,2.0,26.0,300.18,55.61,59.03,52.24,2.19,17.72,18.48,16.08,0.61,0.4253,1.0852
AS_056,australian_shepherd,2.0,26.0,300.09,67.09,71.7,62.3,2.68,21.62,22.33,20.94,0.57,0.3198,0.8983
AS_058,australian_shepherd,2.0,26.0,300.14,63.76,69.95,57.58,2.65,17.86,18.87,17.19,0.51,0.3292,0.9462
AS_062,australian_shepherd,2.0,26.0,300.14,65.3,90.23,59.02,9.0,15.65,15.65,15.65,0.0,0.382,0.8911
AS_065,australian_shepherd,2.0,26.0,300.12,65.38,75.19,54.76,4.67,18.16,18.81,17.21,0.38,0.3294,0.9258
AS_067,australian_shepherd,2.0,26.0,300.14,68.39,75.05,56.29,4.71,15.18,17.49,13.14,1.89,0.3341,0.8807
AS_068,australian_shepherd,2.0,26.0,300.12,66.6,72.29,62.62,2.69,15.38,17.03,14.36,1.02,0.3214,0.8994
AS_069,australian_shepherd,2.0,26.0,300.12,67.81,74.86,62.79,3.14,18.68,20.32,16.89,1.09,0.3131,0.896
AS_072,australian_shepherd,2.1,23.0,258.12,55.54,59.41,50.52,2.77,29.1,31.3,25.03,2.25,0.2834,1.0343
BEA_002,beauceron,7.5,29.0,300.08,43.28,47.31,39.16,2.02,10.67,11.41,9.5,0.45,0.5003,1.3967
BEA_003,beauceron,7.5,29.0,300.08,44.85,53.46,37.6,4.22,9.45,11.46,6.84,1.24,0.5383,1.3643
BEA_008,beauceron,7.5,29.0,300.08,44.11,46.97,40.96,1.53,11.44,12.61,10.85,0.39,0.5202,1.3804
BEA_009,beauceron,7.5,29.0,300.14,44.9,52.81,38.63,3.08,15.48,21.36,12.77,3.26,0.4481,1.3272
BEA_010,beauceron,7.5,29.0,300.12,46.42,52.93,42.44,2.52,15.2,18.36,11.12,3.03,0.4593,1.1814
BEA_012,beauceron,7.5,29.0,300.14,45.34,51.72,39.71,3.25,10.31,10.64,10.1,0.14,0.5742,1.3477
BEA_013,beauceron,7.5,29.0,300.17,37.48,44.44,33.38,2.4,11.71,13.27,10.61,0.75,0.4292,1.6189
BEA_014,beauceron,7.5,29.0,300.12,49.13,60.78,41.12,5.32,10.56,12.99,9.53,1.16,0.4926,1.1828
BEA_015,beauceron,7.5,29.0,300.17,48.88,60.98,38.05,6.41,10.54,11.87,9.7,0.73,0.4896,1.1336
BEA_016,beauceron,7.5,29.0,300.12,38.01,42.86,32.63,2.95,11.37,11.86,10.45,0.65,0.4701,1.4424
BEA_019,beauceron,7.5,29.0,300.14,46.24,57.1,39.55,4.44,11.33,14.18,10.45,1.1,0.4027,1.2165
BEA_020,beauceron,7.5,29.0,300.17,50.27,53.33,47.21,3.06,11.55,11.55,11.55,0.0,0.403,0.8664
BEA_021,beauceron,7.5,29.0,300.12,46.97,52.31,41.67,2.41,16.37,18.14,14.69,1.41,0.4289,1.2572
BEA_022,beauceron,7.5,29.0,300.08,44.79,47.38,40.96,1.94,14.8,14.8,14.8,0.0,1.251,1.4439
BEA_023,beauceron,7.5,29.0,300.08,42.34,48.26,36.94,2.63,11.97,12.19,11.75,0.22,0.4809,1.3485
BEA_025,beauceron,7.5,29.0,300.12,42.61,47.28,38.24,2.2,9.56,10.94,8.6,0.64,0.5747,1.4107
BEA_026,beauceron,7.5,29.0,300.12,56.45,68.73,48.66,5.19,11.54,14.09,9.22,1.26,0.4479,1.0379
BEA_027,beauceron,7.5,29.0,300.08,43.2,46.78,38.91,2.39,8.79,9.38,8.24,0.31,0.6374,1.43
BEA_028,beauceron,7.5,29.0,300.12,57.21,66.9,52.43,4.02,10.2,10.2,10.2,0.0,0.4531,1.0333
BEA_029,beauceron,7.5,29.0,300.17,58.56,75.95,48.39,6.91,11.48,12.36,10.8,0.65,0.3935,0.9957
BEA_030,beauceron,7.5,29.0,300.17,55.17,60.19,48.0,3.69,9.85,11.04,9.33,0.69,0.4721,1.0832
BEA_031,beauceron,7.5,29.0,300.17,56.78,69.72,48.91,5.09,11.15,11.77,10.52,0.38,0.4397,1.0118
BEA_032,beauceron,7.5,29.0,300.14,54.34,65.47,45.34,5.13,9.26,10.73,8.48,0.71,0.4896,1.0665
BEA_033,beauceron,7.5,29.0,300.17,52.1,57.1,46.04,2.7,11.19,13.69,9.93,1.77,0.4522,1.1017
BEA_034,beauceron,7.5,29.0,300.14,56.19,66.14,49.97,3.9,11.36,12.17,10.94,0.29,0.4426,1.0487
BEA_035,beauceron,7.5,29.0,300.14,54.41,60.48,48.32,3.44,11.48,13.18,10.26,0.72,0.4674,1.1189
BEA_037,beauceron,7.5,29.0,300.12,55.24,65.93,49.4,4.95,10.98,11.97,10.43,0.44,0.4579,1.0863
BEA_041,beauceron,4.0,38.0,300.36,39.66,47.08,31.52,3.45,9.31,11.29,8.07,0.83,0.7041,1.4977
BEA_042,beauceron,4.0,38.0,300.44,39.02,51.98,30.67,4.7,9.25,10.75,8.15,0.62,0.6995,1.4465
BEA_043,beauceron,4.0,38.0,300.39,40.86,60.45,31.79,6.3,7.98,8.88,7.0,0.42,0.7479,1.4835
BEA_045,beauceron,4.0,38.0,300.12,44.56,63.96,32.21,8.63,8.52,12.93,6.67,2.13,0.6254,1.3735
BEA_046,beauceron,4.0,38.0,300.14,36.24,47.03,31.58,3.9,8.34,9.9,7.15,0.73,0.6254,1.6566
BEA_047,beauceron,4.0,38.0,300.12,37.5,43.91,32.09,3.81,8.83,12.95,6.53,1.48,0.632,1.5458
BEA_048,beauceron,4.0,38.0,300.39,37.07,44.02,32.54,3.42,7.42,9.48,6.09,0.87,0.6718,1.53
BEA_049,beauceron,4.0,38.0,300.14,38.19,45.87,30.86,3.94,7.01,8.01,6.19,0.49,0.6571,1.5833
BEA_050,beauceron,4.0,38.0,300.12,37.52,46.06,31.39,4.16,8.44,10.76,6.78,1.24,0.6271,1.3641
BEA_051,beauceron,4.0,38.0,300.39,40.15,48.32,36.59,2.62,9.34,10.15,8.8,0.32,0.6059,1.4964
BEA_052,beauceron,4.0,38.0,300.36,59.94,66.9,54.05,3.62,7.94,8.36,7.79,0.24,0.4697,0.9919
BEA_054,beauceron,4.0,38.0,300.39,54.54,72.05,43.19,6.42,9.95,11.33,8.8,0.75,0.5297,1.1106
BEA_055,beauceron,4.0,38.0,300.36,55.8,64.75,48.24,3.94,10.83,14.46,8.82,1.07,0.466,1.0731
BEA_057,beauceron,4.0,38.0,300.36,42.84,47.87,37.84,2.8,9.13,9.66,8.66,0.34,0.6556,1.3397
BEA_059,beauceron,4.0,38.0,300.39,47.53,57.25,40.35,4.51,15.97,18.39,13.42,1.19,0.5261,1.2588
BEA_066,beauceron,4.0,38.0,300.39,48.05,66.44,40.05,6.18,9.39,12.2,7.83,1.24,0.6146,1.2575
BEA_068,beauceron,4.0,38.0,300.39,48.04,57.92,41.69,4.14,10.1,11.47,8.65,1.01,0.5705,1.2328
BEA_069,beauceron,4.0,38.0,300.39,49.72,61.9,42.8,5.68,8.52,11.02,7.2,1.2,0.5554,1.1317
BEA_071,beauceron,4.0,38.0,300.43,57.78,61.39,54.97,2.23,14.28,15.43,13.37,0.76,0.3659,1.0358
BEA_072,beauceron,4.0,38.0,300.39,53.42,61.26,46.94,3.74,12.02,12.71,10.95,0.68,0.4683,1.1452
BEA_074,beauceron,4.0,38.0,300.36,49.6,59.59,42.47,5.01,7.93,8.43,7.3,0.45,0.6192,1.1383
BEA_075,beauceron,4.0,38.0,300.39,47.16,54.97,42.55,2.74,7.89,8.41,7.36,0.32,0.7039,1.262
BEA_076,beauceron,4.0,38.0,300.39,51.23,62.63,45.24,4.11,13.11,15.26,11.26,1.13,0.5031,1.1141
BEA_077,beauceron,4.0,38.0,181.42,47.8,52.57,42.95,2.73,8.64,9.02,8.07,0.27,0.6515,1.3083
BER_001,berger,5.5,11.0,300.03,58.26,63.03,53.33,2.52,20.53,21.33,19.42,0.6,0.2794,1.037
BER_002,berger,5.5,11.0,300.09,61.27,88.77,53.5,8.27,20.35,22.94,18.08,1.64,0.3238,0.931
BER_003,berger,5.5,11.0,300.09,57.24,88.75,46.57,11.76,24.33,28.73,16.96,5.24,0.3383,0.9312
BER_004,berger,5.5,11.0,300.09,51.38,58.01,48.07,2.4,11.32,12.39,10.04,0.7,0.4267,1.175
BER_005,berger,5.5,11.0,300.09,47.14,51.76,42.53,4.61,8.38,8.38,8.38,0.0,0.5033,1.0796
BER_007,berger,5.5,11.0,300.09,55.96,67.46,49.74,4.14,14.93,16.45,13.65,0.86,0.3583,1.0729
BER_008,berger,5.5,11.0,300.09,54.76,62.14,51.18,2.64,13.51,13.51,13.51,0.0,0.3502,1.0904
BER_010,berger,5.5,11.0,300.09,47.53,53.0,39.97,2.4,15.44,18.34,13.06,1.25,0.4074,1.2727
BER_011,berger,5.5,11.0,300.09,47.83,55.48,41.1,2.89,12.11,14.08,11.13,0.66,0.4678,1.2653
BER_012,berger,5.5,11.0,300.05,47.67,61.43,36.81,5.68,11.64,13.66,10.83,0.8,0.5201,1.2368
BER_013,berger,5.5,11.0,300.04,46.74,54.39,44.12,2.07,11.54,13.09,10.6,0.93,0.4447,1.2877
BER_014,berger,5.5,11.0,300.09,46.8,50.65,40.3,2.32,12.95,13.95,11.92,0.61,0.4121,1.2425
BER_015,berger,5.5,11.0,300.04,46.83,51.54,42.15,2.29,12.64,13.19,11.92,0.37,0.438,1.2663
BER_018,berger,5.5,11.0,300.13,45.27,47.84,40.32,1.75,11.33,11.33,11.33,0.0,0.452,1.3539
BER_019,berger,5.5,11.0,300.09,45.21,49.62,40.57,1.98,9.97,11.04,8.84,0.54,0.4613,1.3286
BER_020,berger,5.5,11.0,300.09,43.77,48.63,40.74,2.1,8.66,8.66,8.66,0.0,0.4462,1.3244
BER_022,berger,5.5,11.0,300.09,45.11,48.58,40.46,2.55,10.44,10.44,10.44,0.0,0.4448,1.1167
BER_023,berger,5.5,11.0,300.09,44.17,48.58,39.95,2.17,9.86,10.35,9.02,0.4,0.4993,1.3712
BER_024,berger,5.5,11.0,300.13,42.14,46.15,39.89,2.18,9.9,10.27,9.6,0.27,0.4673,1.3071
BER_025,berger,5.5,11.0,300.09,44.09,50.13,40.76,2.58,9.19,9.45,8.96,0.18,0.5075,1.377
BER_026,berger,5.5,11.0,300.09,41.61,45.57,38.59,2.93,9.75,9.75,9.75,0.0,0.4894,1.2186
BER_027,berger,5.5,11.0,300.13,46.4,49.55,40.21,2.26,8.36,9.74,7.24,0.78,0.4848,1.3185
BER_028,berger,5.5,11.0,300.09,45.54,49.66,42.77,2.08,8.68,9.23,7.82,0.32,0.4805,1.3239
BER_029,berger,5.5,11.0,300.09,44.98,48.0,42.07,1.93,8.32,8.51,8.17,0.11,0.4624,1.2526
BER_030,berger,5.5,11.0,300.13,46.03,51.08,42.53,2.18,8.77,9.3,8.16,0.32,0.4984,1.3103
BER_033,berger,5.5,11.0,300.13,44.28,47.87,40.43,2.31,6.71,7.86,5.73,0.61,0.4203,1.3458
BER_035,berger,5.5,11.0,300.08,49.75,52.81,46.81,2.05,12.87,12.87,12.87,0.0,0.3618,1.1434
BER_036,berger,5.5,11.0,300.08,47.32,52.0,42.75,2.2,12.36,13.81,11.01,0.8,0.4451,1.2722
BER_037,berger,5.5,11.0,300.12,47.32,51.97,45.61,1.44,12.08,13.31,11.23,0.55,0.3992,1.235
BER_038,berger,5.5,11.0,300.08,47.95,50.55,44.24,1.84,13.02,13.02,13.02,0.0,0.3801,1.2391
BER_039,berger,5.5,11.0,300.12,49.72,54.65,46.33,1.96,13.89,15.68,12.18,0.99,0.4084,1.1392
BER_040,berger,4.0,10.5,299.99,61.07,63.66,58.71,1.45,12.73,12.73,12.73,0.0,0.2556,0.9849
BER_041,berger,4.0,10.5,300.09,60.85,64.13,57.14,1.73,11.25,12.01,10.45,0.39,0.3005,0.9933
BER_042,berger,4.0,10.5,300.05,63.38,70.5,59.44,2.98,11.8,12.92,10.21,0.86,0.2943,0.9635
BER_043,berger,4.0,10.5,300.04,61.92,66.58,55.52,2.18,10.54,10.54,10.54,0.0,0.3481,0.9867
BER_047,berger,4.0,10.5,300.09,58.72,63.79,52.57,2.98,13.16,14.64,11.21,1.08,0.3515,1.0133
BER_048,berger,4.0,10.5,300.09,59.88,65.66,56.53,2.4,11.1,12.5,10.28,0.55,0.3615,1.0078
BER_049,berger,4.0,10.5,300.05,58.38,60.99,53.78,1.74,11.25,11.56,10.78,0.23,0.376,1.0181
BER_050,berger,4.0,10.5,300.09,57.32,61.98,50.19,3.4,10.31,12.13,8.27,1.46,0.3702,0.9151
BER_051,berger,4.0,10.5,300.09,60.35,68.47,51.95,6.0,9.48,9.48,9.48,0.0,0.3776,0.9926
